state,population,land_area_sq_mi,density
CA,38965193,155779,250.1
TX,30503301,261232,116.8
FL,22610726,53625,421.6
NY,19571216,47126,415.3
PA,12961683,44743,289.7
IL,12549689,55519,226.0
OH,11785935,40861,288.4
GA,11029227,57513,191.8
NC,10835491,48618,222.9
MI,10037261,56539,177.5
NJ,9290841,7354,1263.4
VA,8642274,39490,218.8
WA,7812880,66456,117.6
AZ,7431344,113594,65.4
TN,7126489,41235,172.8
MA,7001399,7800,897.6
IN,6862199,35826,191.5
MO,6196156,68742,90.1
MD,6180253,9707,636.7
WI,5910955,54158,109.1
CO,5877610,103642,56.7
MN,5737915,79627,72.1
SC,5373555,30061,178.8
AL,5108468,50645,100.9
LA,4573749,43204,105.9
KY,4526154,46923,96.5
OR,4233358,95988,44.1
OK,4053824,68595,59.1
CT,3617176,4842,747.0
UT,3417734,82170,41.6
IA,3207004,55857,57.4
NV,3194176,109781,29.1
AR,3067732,52035,59.0
MS,2939690,46923,62.6
KS,2940546,81759,36.0
NM,2114371,121298,17.4
NE,1978379,76824,25.8
ID,1964726,82643,23.8
WV,1770071,24038,73.6
HI,1435138,6423,223.4
NH,1402054,8953,156.6
ME,1395722,30843,45.3
MT,1132812,145546,7.8
RI,1095962,1034,1059.9
DE,1031890,1949,529.4
SD,919318,75811,12.1
ND,783926,69001,11.4
AK,733391,570641,1.3
DC,678972,61,11130.7
VT,647464,9217,70.2
WY,584057,97093,6.0
